dataset_key,dataset_name,target_player,direction,k,trial,exposure_index,model_a,model_b,both_active,influence_decision,rigging_decision,same_decision,influence_rows_added,rigging_rows_added,influence_success_after_step,rigging_success_after_step,influence_rank_after_step,rigging_rank_after_step,initial_rank
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,2,14,Andrey Rublev,Stefanos Tsitsipas,True,model_b,model_a,False,1,1,False,False,4,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,2,15,Stefanos Tsitsipas,Alexander Zverev,True,model_b,model_b,True,1,1,False,False,4,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,2,16,Taylor Fritz,Andrey Rublev,True,model_a,model_a,True,1,1,False,False,4,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,2,17,Taylor Fritz,Andrey Rublev,True,model_a,model_a,True,1,1,False,False,4,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,2,18,Jannik Sinner,Hubert Hurkacz,True,model_b,model_b,True,1,1,False,False,5,5,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,2,19,Hubert Hurkacz,Taylor Fritz,True,model_b,model_b,True,1,1,False,False,5,5,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,2,20,Jannik Sinner,Taylor Fritz,True,model_b,model_b,True,1,1,False,False,6,6,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,2,21,Andrey Rublev,Taylor Fritz,True,model_b,model_b,True,1,1,False,False,6,6,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,2,22,Jannik Sinner,Andrey Rublev,True,model_b,model_b,True,1,1,False,False,6,6,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,2,23,Daniil Medvedev,Hubert Hurkacz,True,model_a,model_a,True,1,1,False,False,6,6,4
